	qid	rid	q_sen	r_sen	label
75	21	0	我想看看碧桂园的房子。	OK	0
76	21	1	我想看看碧桂园的房子。	OK	0
77	21	2	我想看看碧桂园的房子。	 可以的	1
78	22	0	房价还能谈吗？	可以	1
79	22	1	房价还能谈吗？	40来万的	0
80	22	2	房价还能谈吗？	我们有钥匙的你有时间没	0
81	23	0	这是一期吗	约哈。去看哈嘛	0
82	23	1	这是一期吗	确定	0
83	23	2	这是一期吗	我上个月才卖了得	0
84	23	3	这是一期吗	大概几分钟吧	0
85	23	4	这是一期吗	亲爱的你点好多	0
86	24	0	您好，我想看一下这房子	👌	0
87	24	1	您好，我想看一下这房子	我给您发个vr	0
88	24	2	您好，我想看一下这房子	怎么了？	0
89	25	0	您好，请问这个户型有啥优缺点	链家NAME很高兴为您服务	0
90	25	1	您好，请问这个户型有啥优缺点	永丰楼   6楼到顶的5楼	1
91	25	2	您好，请问这个户型有啥优缺点	南北通透的两室	1
92	25	3	您好，请问这个户型有啥优缺点	私产  满五年	1
93	25	4	您好，请问这个户型有啥优缺点	性价比挺合适的	1
94	26	0	临街吗	靠百色路	1
95	26	1	临街吗	电梯房考虑吗	0
96	26	2	临街吗	嗯	0
97	27	0	先看房子嘛	这几套房子是幸福时光里的，离长生桥轻轨站很近，	0
98	27	1	先看房子嘛	您从那边过来	0
99	27	2	先看房子嘛	自己开车还是轻轨	0
100	28	0	您好，请问这个房子周边有哪些学校	可以申请	0
101	28	1	您好，请问这个房子周边有哪些学校	可园小学中学，木棉湾小学中学都可以上	1
102	28	2	您好，请问这个房子周边有哪些学校	百合学校分区，只有龙岗区才能上，以近距离录取分数线准	1
103	28	3	您好，请问这个房子周边有哪些学校	教育局网	0
104	28	4	您好，请问这个房子周边有哪些学校	申请	0
105	29	0	请问首付和贷款是多少？	您好，您发的房子还在的，链家所有房源均为真实在售房源，想看看吗？我可以帮您约业主时间。	0
106	29	1	请问首付和贷款是多少？	早上好	0
107	30	0	你好 请问这个房源信息只有这些吗？	这个房源不存在哈，是租房	1
108	30	1	你好 请问这个房源信息只有这些吗？	也可以呀	0
109	30	2	你好 请问这个房源信息只有这些吗？	好的	0
110	30	3	你好 请问这个房源信息只有这些吗？	请问您的电话是多少	0
111	30	4	你好 请问这个房源信息只有这些吗？	您的呢？	0
112	31	0	什么时候能够看房呢？	您好这套房子随时可以看	1
113	31	1	什么时候能够看房呢？	您您什么时候有时间看房？	1
114	32	0	对了我还想看河东的一个房子	琴海公寓您考虑吗？	0
115	32	1	对了我还想看河东的一个房子	河东哪套房子？	0
116	32	2	对了我还想看河东的一个房子	房子您可以给我发一下吗？我给您约一下。	0
117	33	0	看房什么时候方便	我给你约一下业主吧。	1
118	33	1	看房什么时候方便	您好，您之前咨询的纬四路9号院小区有新上房源，不知道您是否感兴趣？	0
119	34	0	什么时候能够看房呢？	嗯嗯	0
120	34	1	什么时候能够看房呢？	附近目前还有鑫江花漾里	0
121	34	2	什么时候能够看房呢？	😄	0
122	35	0	你好，这个房子是要全款？	嗯	0
123	35	1	你好，这个房子是要全款？	全款	1
124	35	2	你好，这个房子是要全款？	您这边是要按揭还是全款	0
125	35	3	你好，这个房子是要全款？	?	0
126	35	4	你好，这个房子是要全款？	?	0
127	36	0	都不满吗？怎么交易	你要造成落地窗吗?	0
128	36	1	都不满吗？怎么交易	协议过户	1
129	36	2	都不满吗？怎么交易	可以砸?	0
130	36	3	都不满吗？怎么交易	我看见有人把阳台改成落地的了?	0
131	36	4	都不满吗？怎么交易	没看见有人改、	0
132	37	0	临街吗？	不临街呢	1
133	37	1	临街吗？	在	0
134	38	0	明天什么时候可以看看呢	您大概什么时间方便呢	1
135	38	1	明天什么时候可以看看呢	我帮您约好	1
136	38	2	明天什么时候可以看看呢	好的👌您留个联系电话给我	0
137	39	0	您好，请问这个户型有啥优缺点	这户型的缺点是没有阳台	1
138	39	1	您好，请问这个户型有啥优缺点	小区是老小区，楼梯房	1
139	39	2	您好，请问这个户型有啥优缺点	81坪的小三房	0
140	39	3	您好，请问这个户型有啥优缺点	但是楼下交通，生活，学校都很方便	1
141	39	4	您好，请问这个户型有啥优缺点	房子是在7楼	0
142	40	0	是实验学校吗	不是实验	1
143	40	1	是实验学校吗	您要实验学校学区房？	0
144	40	2	是实验学校吗	有的	0
145	41	0	2020年5月买的1手？	不是啊	1
146	41	1	2020年5月买的1手？	2016年买的	1
147	41	2	2020年5月买的1手？	2019年底才办的契税	1
148	42	0	什么时候能够看房呢？	您好	0
149	42	1	什么时候能够看房呢？	您好	0
150	43	0	能看吗	可以的	1
151	43	1	能看吗	现在还有徐州	0
152	43	2	能看吗	没出去	0
153	44	0	什么时候友谊医院能开张	2022年	1
154	44	1	什么时候友谊医院能开张	有时间可以来看看	0
155	44	2	什么时候友谊医院能开张	周六日休息吗	0
156	45	0	这个价格还有的谈吗	这是62平的	0
157	45	1	这个价格还有的谈吗	您想考虑多大面积的呀	0
158	45	2	这个价格还有的谈吗	您同意呀，我给你发个62平的精装的	0
159	46	0	北师大附中市重点中学吗	对	0
160	46	1	北师大附中市重点中学吗	重点学校	0
161	46	2	北师大附中市重点中学吗	哦哦	0
162	47	0	总的税费？	增值税，契税，个税	1
163	47	1	总的税费？	一共8点多	1
164	47	2	总的税费？	好的，我写给您	0
165	47	3	总的税费？	增值税5.3，契税1.5，个税1	1
166	47	4	总的税费？	一共7.8	1
167	48	0	这是哪里的房子	这个项目是在青白江那边	0
168	48	1	这是哪里的房子	挨着青白江东站的	0
169	49	0	学区划分在哪个小学	飞鹅岭小学的	1
170	49	1	学区划分在哪个小学	不是的，保利高尔夫那里	0
171	49	2	学区划分在哪个小学	公立的，3公里	0
172	50	0	什么时候能够看房呢？	房子是业主自住的，看房方便，一般都有老人在家的，	1
173	50	1	什么时候能够看房呢？	您有时间可以与我提前联系。我帮您约时间，其他户型的房子也可以带您看一下。	1
174	50	2	什么时候能够看房呢？	房子是19楼的，视野也很不错的。	0
175	51	0	不挡光吧、	视野相对来说还可以	1
176	51	1	不挡光吧、	不挡光	1
177	51	2	不挡光吧、	价格可以谈	0
178	51	3	不挡光吧、	家具需要跟房东协商	0
179	51	4	不挡光吧、	大部分是没有问题的	0
180	52	0	这个最低多少钱	您好	0
181	52	1	这个最低多少钱	业主诚心卖	0
182	52	2	这个最低多少钱	您可以先看一下房子，合适的话可以和业主聊聊	1
183	53	0	2楼这套给256万能谈下来吗	我可以努力去帮你试试	1
184	53	1	2楼这套给256万能谈下来吗	不过2楼的比这个也大小20平呢😆我估计应该能高一点点	0
185	53	2	2楼这套给256万能谈下来吗	我可以帮您递个价给业主聊聊 咱俩在沟通 方便您给我留个您的联系方式吧😊也方便咱们沟通	0
186	54	0	都看看吧	您今天几点到呢	0
187	54	1	都看看吧	我都帮您约一下	0
188	54	2	都看看吧	好的	0
189	55	0	那您帮我约一下，看看他们什么时候方便，谢谢	好的，你什么时间方便。	1
190	55	1	那您帮我约一下，看看他们什么时候方便，谢谢	好的	0
191	55	2	那您帮我约一下，看看他们什么时候方便，谢谢	今天租户出去了，明天上午可以安排看房。	1
192	56	0	行，明天都看看	好	0
193	56	1	行，明天都看看	晚点儿我约下业主的时间	1
194	56	2	行，明天都看看	好的	0
195	57	0	看房方便吗	嗯嗯很方便，提前预约随时可看	1
196	57	1	看房方便吗	恩恩	0
197	57	2	看房方便吗	您好	0
198	58	0	临大路哈？	对旁边是通史南路	1
199	58	1	临大路哈？	房主着急卖，如果考虑的话可以再聊聊	0
200	58	2	临大路哈？	这个房有钥匙，你看今天什么时候有时间？	0
201	59	0	拎包入住？就是说家具这些房东不拿走？	这套房子装修保养非常不错	0
202	59	1	拎包入住？就是说家具这些房东不拿走？	嗯嗯	0
203	59	2	拎包入住？就是说家具这些房东不拿走？	带家具家电一起卖哈	0
204	59	3	拎包入住？就是说家具这些房东不拿走？	房东只带走私人物品	0
205	60	0	什么时候能够看房呢？	😓	0
206	60	1	什么时候能够看房呢？	😁	0
207	61	0	我想了解一下这里的房子	您是考虑买还是卖？	0
208	61	1	我想了解一下这里的房子	之前您有没有过来看过这个小区呢	0
209	61	2	我想了解一下这里的房子	有153-166-178平的	0
210	61	3	我想了解一下这里的房子	好的	0
211	61	4	我想了解一下这里的房子	我给您发几套，您看一下	0
212	62	0	上哪个小学呢	您是说的那套房子？	1
213	62	1	上哪个小学呢	常秀家园还是那个小区呢？	0
214	62	2	上哪个小学呢	常秀家园对应的是海淀育鹰小学	1
215	63	0	51看看哪天我约你吧	农忙了	0
216	63	1	51看看哪天我约你吧	 好的呀	0
217	63	2	51看看哪天我约你吧	 客户不多	0
218	64	0	北一路哪？	这套房子在兴工北街1号	1
219	64	1	北一路哪？	对	0
220	64	2	北一路哪？	好的	0
221	65	0	那前面光线怎么样	不影响啊	0
222	65	1	那前面光线怎么样	就是看顶楼你介意不	0
223	65	2	那前面光线怎么样	?这个我怎么说呢，夏天不管几楼的房子都要开空调	0
224	65	3	那前面光线怎么样	那不会	0
225	65	4	那前面光线怎么样	漏雨的话会跟您说的	0
226	66	0	这套房配套学区怎么样啊	板厂小学的招生简章上有本小区	1
227	66	1	这套房配套学区怎么样啊	板厂小学是一所二流一类小学，侧重于孩子的学习成绩，所以成绩相对来说好一些，上汇文中学的比例也是最高的，到达30%的比例，汇文中学又是北京市的重点中学，这个小学跟陪新小学差不多，也是注重学习成绩，过来板厂和陪新的，基本都是冲着汇文中学而来，即使没上了汇文，大部分去了广渠门中学，东城区重点，还有两所，50和109，仅次于广渠门，也是区重点，板厂对应中学就是这四所，都在方圆1.5公里以内	1
228	66	2	这套房配套学区怎么样啊	龙体片区整体比较均衡	0
229	66	3	这套房配套学区怎么样啊	没有坑	0
230	66	4	这套房配套学区怎么样啊	嗯嗯，可以的，明天下午您几点能过来呀	0
231	67	0	靠马路吗	不临马路	1
232	67	1	靠马路吗	楼下就是花园	0
233	67	2	靠马路吗	这套您看一下总高11楼的9楼	0
234	68	0	在小区的什么位置？	7楼	1
235	68	1	在小区的什么位置？	这套房子在6栋，1层	1
236	68	2	在小区的什么位置？	房子比较新	0
237	69	0	在哪	咸阳的盘	0
238	69	1	在哪	小区自带13.5万方的商业	0
239	69	2	在哪	您想购置一套吗	0
240	70	0	这个户型的西南是不是比东南好点采光	这种两居近期成交没有465万的，您再确定一下是不是看错了(^^)	0
241	70	1	这个户型的西南是不是比东南好点采光	这套是顶层的，电梯到10层，然后走楼梯往上走一层。不满两年的公房	0
242	70	2	这个户型的西南是不是比东南好点采光	不是电梯直达的那种，另外这个是半年以前的成交了，现在像这种楼的一居81平成交价格已经到466万了。是6月28日成交的。	0
243	70	3	这个户型的西南是不是比东南好点采光	现在的市场和之前的市场已经存在差距了，最主要的是楼层的限制因素。	0
244	71	0	这套房源价格还有优惠空间么？	看中可谈	1
245	71	1	这套房源价格还有优惠空间么？	您付款如何？小区房子户型了解吗	0
246	71	2	这套房源价格还有优惠空间么？	您好	0
247	72	0	周边配套怎么样	链家NAME很高兴为你服务	0
248	72	1	周边配套怎么样	周边配套成熟	1
249	72	2	周边配套怎么样	深圳的物业公司	0
250	72	3	周边配套怎么样	彩生活	0
251	72	4	周边配套怎么样	你之前有来这附近看过房子没	0
252	73	0	在哪里呢	绿地468三期的	1
253	73	1	在哪里呢	好的，我发个线上看房	0
254	73	2	在哪里呢	您到时有时间看房了提前给我说就行，我提前约业主	0
255	74	0	这个约看	可以	1
256	74	1	这个约看	您几点过来	0
257	74	2	这个约看	钥匙在我们店	0
258	75	0	多久满呢	这套房子业主才交的契税	0
259	75	1	多久满呢	所以满两年还很早	1
260	75	2	多久满呢	您考虑满两年的房子吗	0
261	75	3	多久满呢	百悦城四期有快满两年的房子给您推荐两套吧	0
262	75	4	多久满呢	嗯嗯	0
263	76	0	您好，我正在看芍药居北里的房子	房子在卖的	0
264	76	1	您好，我正在看芍药居北里的房子	业主也诚心	0
265	76	2	您好，我正在看芍药居北里的房子	您省去一部分钱了	0
266	76	3	您好，我正在看芍药居北里的房子	您说的这个价位确实有点低	0
267	76	4	您好，我正在看芍药居北里的房子	不过，您再给点价，可以约业主见面聊聊的	0
268	77	0	看看呢	好的呢，您说的哪套呢	0
269	77	1	看看呢	好的	0
270	77	2	看看呢	您好	0
271	78	0	最低多少钱啦	您好	0
272	78	1	最低多少钱啦	基本上谈不了多少钱	1
273	78	2	最低多少钱啦	是的	0
274	79	0	这套房源价格还有优惠空间么？	您好	0
275	79	1	这套房源价格还有优惠空间么？	价格可以谈	1
276	79	2	这套房源价格还有优惠空间么？	您好，您之前咨询的艾维尼小城小区有新上房源，不知道您是否感兴趣？	0
277	80	0	这是在什么地方	您好	0
278	80	1	这是在什么地方	有什么可以帮您	0
279	80	2	这是在什么地方	在么？	0
280	81	0	可以去看吗	可以，我提前约下	1
281	81	1	可以去看吗	您什么时候方便	1
282	81	2	可以去看吗	您住哪里	0
283	82	0	中学呢	十五中	1
284	82	1	中学呢	您明天有时间吗？	0
285	82	2	中学呢	我带您实地看看	0
286	83	0	想了解一下购房政策	我是置家地产淘金家园分行小蒋，很高兴为您提供服务，请问怎么称呼您？	0
287	83	1	想了解一下购房政策	房子都没有看找业主谈，业主会觉得我故意压价，现在的业主都很精明的。	0
288	83	2	想了解一下购房政策	您如果有心的话，找个时间过来看一下房子，喜欢就谈，不喜欢管它卖多少钱，你说是吗？	0
289	83	3	想了解一下购房政策	什么时候看过的？	0
290	83	4	想了解一下购房政策	请问您联系电话多少？到时候有什么情况回复您。	0
291	84	0	采光好吗？	采光没挡的	1
292	84	1	采光好吗？	你宏联来看过吗	0
293	84	2	采光好吗？	这个19楼的	0
294	84	3	采光好吗？	还有个21楼	0
295	84	4	采光好吗？	你这边方便留个电话加个微信嘛？	0
296	85	0	哦哦采光怎么样？	挺好的	1
297	85	1	哦哦采光怎么样？	周末方便不	0
298	85	2	哦哦采光怎么样？	我周末联系你呢	0
299	85	3	哦哦采光怎么样？	???	0
300	85	4	哦哦采光怎么样？	1楼怎么样	0
301	86	0	这疫情能看？	对呀	1
302	86	1	这疫情能看？	😊要不之前的房子都是怎么卖的呀	0
303	86	2	这疫情能看？	您看这周末来看房吗？	1
304	87	0	能配家具家电吗	1350的这个是刚装修了一两个月吧	0
305	87	1	能配家具家电吗	给你问下吧	0
306	87	2	能配家具家电吗	去看房子了吗	0
307	87	3	能配家具家电吗	我先打电话给您问下还	0
308	88	0	什么时候能够看房呢？	您好	0
309	88	1	什么时候能够看房呢？	您好	0
310	88	2	什么时候能够看房呢？	您好，在	0
311	89	0	什么时候能够看房呢？	随时看房	1
312	89	1	什么时候能够看房呢？	您好	0
313	89	2	什么时候能够看房呢？	房子在的	0
314	90	0	带家具吗	大部分都带	1
315	90	1	带家具吗	价格还可以商量	0
316	90	2	带家具吗	五到十万讨价空间估计	0
317	90	3	带家具吗	房主现在在外地基本上能不动的都不动了	0
318	90	4	带家具吗	东户	0
319	91	0	您好，请问这个房子的首付、税费和贷款是怎样的？	稍等一下	0
320	91	1	您好，请问这个房子的首付、税费和贷款是怎样的？	所以是不限购的	0
321	92	0	什么时候看房	😊	0
322	92	1	什么时候看房	是的	0
323	92	2	什么时候看房	您好	0
324	93	0	您好，请问这个房子周边有哪些学校？	这房子划片乌山小的	0
325	93	1	您好，请问这个房子周边有哪些学校？	对的呀，不然也不会这么低的价格呢	0
326	93	2	您好，请问这个房子周边有哪些学校？	你主要考虑买什么样的房子呢 我给你推荐其他	0
327	93	3	您好，请问这个房子周边有哪些学校？	框架的乌山小的房子会考虑吗？	0
328	93	4	您好，请问这个房子周边有哪些学校？	其他学校呢	0
329	94	0	这房子能贷多少年	20-25左右	1
330	94	1	这房子能贷多少年	男性女性	0
331	94	2	这房子能贷多少年	可以	0
332	94	3	这房子能贷多少年	?	0
333	94	4	这房子能贷多少年	稍等	0
334	95	0	大税多少	5.3	1
335	95	1	大税多少	67840	0
336	95	2	大税多少	方便的话可以把您手机号给我吗？有什么新房子我第一时间联系您，发给您。	0
337	96	0	那个楼是临街的我看	这个小区是元宝形的，四周电梯高层板楼	0
338	96	1	那个楼是临街的我看	中间是不带电梯小板楼	0
339	96	2	那个楼是临街的我看	所以电梯板楼里这个位置算不错的了	0
340	97	0	这个税费多少？小产权哦	小产权链家不卖的	1
341	97	1	这个税费多少？小产权哦	没有增值税	1
342	97	2	这个税费多少？小产权哦	有1个点的个税	1
343	97	3	这个税费多少？小产权哦	1个点的契税	0
344	97	4	这个税费多少？小产权哦	是的	0
345	98	0	您好，请问这个房子周边有哪些学校？	小区里面有幼儿园	0
346	98	1	您好，请问这个房子周边有哪些学校？	旁边有呼家楼中心团结湖分校的低年级部	0
347	98	2	您好，请问这个房子周边有哪些学校？	很多也会送孩子去估计学校	0
348	98	3	您好，请问这个房子周边有哪些学校？	国际学校	1
349	98	4	您好，请问这个房子周边有哪些学校？	这个房子目前有租户，业主不太诚意卖，有诚意的可以推荐您看看	0
350	99	0	您好，我想了解长桥六村即将上架的1室房源报价。	216	0
351	99	1	您好，我想了解长桥六村即将上架的1室房源报价。	阿姨，有什么需要咨询的吗	0
352	99	2	您好，我想了解长桥六村即将上架的1室房源报价。	哦。那没事的	0
353	99	3	您好，我想了解长桥六村即将上架的1室房源报价。	?	0
354	99	4	您好，我想了解长桥六村即将上架的1室房源报价。	感谢您的咨询，我是链家NAME，感谢信任并选择链家。关于房产有任何疑问可随时联系我，PHONE 随时竭诚为您服务！祝您和家人身体健康，生活愉快！	0
355	100	0	带家具家电？	育文分校和魅力小学	0
356	100	1	带家具家电？	育文已经正式下文了	0
357	100	2	带家具家电？	已经在招生，咱想考虑那的房子我可以给您推荐几个好房子	0
358	101	0	我看房本不满两年 税费是不是很高	如果对噪音特别敏感，这个可能够呛	0
359	101	1	我看房本不满两年 税费是不是很高	这个不临街	0
360	101	2	我看房本不满两年 税费是不是很高	这个是在一个小院里面的	0
361	101	3	我看房本不满两年 税费是不是很高	对的	1
362	101	4	我看房本不满两年 税费是不是很高	这个是满五唯一的	1
363	102	0	是的，配套都齐全的	尚东现在生活也方便。投资潜力更加大w	1
364	102	1	是的，配套都齐全的	这个倒不用	0
365	102	2	是的，配套都齐全的	保守估计2023年	0
366	102	3	是的，配套都齐全的	而且你真的买地铁上盖好的，估计以后卖出去也是差不多价格	0
367	102	4	是的，配套都齐全的	2600到2800	0
368	103	0	税费高吗	精装修	0
369	103	1	税费高吗	满五	0
370	103	2	税费高吗	不唯一	0
371	103	3	税费高吗	嗯	0
372	103	4	税费高吗	电话给个哦	0
373	104	0	家具？	油烟机也有。	1
374	104	1	家具？	装修了我估计卖得快。。您有时间就来看看。	0
375	104	2	家具？	5楼、这套清水。	0
376	104	3	家具？	五楼相当于4楼?	0
377	104	4	家具？	我再找点优质的嘛。。	0
378	105	0	那能看吗？	可以看，是房东自己住，看房不是很方便	1
379	105	1	那能看吗？	要不我们用VR看一下房子	1
380	105	2	那能看吗？	如果觉得可以我们在约房东看房	0
381	106	0	能约上哪个看哪个	好的	0
382	106	1	能约上哪个看哪个	这套是东北朝向辛姐	0
383	106	2	能约上哪个看哪个	相对比装修还不错	0
384	107	0	这个房子是中间套还是边套	在的	0
385	107	1	这个房子是中间套还是边套	上海链家吴娟很高兴为您服务	0
386	107	2	这个房子是中间套还是边套	中间套的	1
387	108	0	请问首付和贷款是多少？	正常首付	1
388	108	1	请问首付和贷款是多少？	您好，您之前咨询的舒格兰二期小区有新上房源，不知道您是否感兴趣？	0
389	108	2	请问首付和贷款是多少？	正常首付的	1
390	109	0	带我看看	好的	0
391	109	1	带我看看	好的	0
392	109	2	带我看看	你好	0
393	110	0	750那套 能谈到多少呢	一层的这套750万吗？	0
394	110	1	750那套 能谈到多少呢	能谈的不多	1
395	110	2	750那套 能谈到多少呢	几万的降幅	1
396	111	0	几期的	这个是海棠小区	1
397	111	1	几期的	不是海棠花园	0
398	111	2	几期的	没有几期之分	1
399	111	3	几期的	这个是铁路医院对面的房子	0
400	111	4	几期的	您是想要海棠花园的房子吧	0
401	112	0	您好 什么时候有空带我去看一下观澜的房子	您好	0
402	112	1	您好 什么时候有空带我去看一下观澜的房子	下午有时间吗？	1
403	112	2	您好 什么时候有空带我去看一下观澜的房子	好的	0
404	113	0	学位呀！配套设施呀！	您稍等，我帮您算一下	0
405	113	1	学位呀！配套设施呀！	首付25万左右	0
406	113	2	学位呀！配套设施呀！	附近有三和实验小学和三和幼儿园	1
407	113	3	学位呀！配套设施呀！	还有崇雅中学	1
408	113	4	学位呀！配套设施呀！	加了	0
409	114	0	其他费用还有哪些？还有议价空间吗？	6楼	0
410	114	1	其他费用还有哪些？还有议价空间吗？	您多少钱能定？	0
411	114	2	其他费用还有哪些？还有议价空间吗？	卖不了	0
412	115	0	这家能看房吗	我预约一下	1
413	115	1	这家能看房吗	您几点看？	1
414	115	2	这家能看房吗	可以看房	1
415	116	0	有时间去看看约你	好的	1
416	116	1	有时间去看看约你	随时看房	1
417	116	2	有时间去看看约你	等你有	0
418	117	0	这套房子是带家具家电  还是空房出售	之前联系房东是带着家具家电出售的	0
419	117	1	这套房子是带家具家电  还是空房出售	首付33万	0
420	117	2	这套房子是带家具家电  还是空房出售	金马小学金马中学	0
421	117	3	这套房子是带家具家电  还是空房出售	贷款85万，贷25年5090元月供	0
422	117	4	这套房子是带家具家电  还是空房出售	这套房子现在价格谈不了多少	0
423	118	0	哦哦，这个小区吗	这个小区暂时没得跃层出来哟	0
424	118	1	哦哦，这个小区吗	我找一下手机	0
425	118	2	哦哦，这个小区吗	照片	0
426	119	0	这是没装过的？	这套也很优质，面积要大些	0
427	119	1	这是没装过的？	您刚刚不是问问没装修过的吗？	0
428	119	2	这是没装过的？	都要考的	0
429	119	3	这是没装过的？	哪个学校啊	0
430	120	0	最近有好的房子吗？带我看看	好的 你预算找什么价位区间的房子呢	0
431	120	1	最近有好的房子吗？带我看看	可以为你推荐一下	0
432	120	2	最近有好的房子吗？带我看看	好的	0
433	121	0	这套在小区什么位置啊	您主要考虑这个价位的的房子还是大概这个小区的房子	0
434	121	1	这套在小区什么位置啊	小区里面	0
435	121	2	这套在小区什么位置啊	不临街	0
436	122	0	在哪里	青白江的楼盘	0
437	122	1	在哪里	考不考虑呢？	0
438	122	2	在哪里	最近有没有考虑买房呢？全成都的我都可以给你推荐	0
439	123	0	有没有税	就契税和个税	1
440	123	1	有没有税	您是自住吗	0
441	123	2	有没有税	这个户型好，增送面积多，一梯一户	0
442	123	3	有没有税	中高层的	0
443	123	4	有没有税	您现在方便吗？我邀请您线上VR看房	0
444	124	0	方便看吗	这个目前没拍😁	0
445	124	1	方便看吗	看房可以看 家里有人 要提前一天跟业主约时间😂	1
446	124	2	方便看吗	1单元的	0
447	125	0	靠哪边，黄河哪边不	就在黄河旁边	1
448	125	1	靠哪边，黄河哪边不	您什么时候有空我可以约下房东一起去看看	0
449	125	2	靠哪边，黄河哪边不	这套房子在33楼，总楼层38层	0
450	126	0	这套价格有得谈吗	可以	1
451	126	1	这套价格有得谈吗	但是建议先看房哈	0
452	126	2	这套价格有得谈吗	谈不到	0
453	127	0	临街吗	之前有客户改动过	0
454	127	1	临街吗	临街	1
